trial_id,timestamp,stimulus_type,stimulus_text,true_emotion_label,circuit_vector,reported_emotion,emotion_intensity,importance_score,memory_classification,response_latency_ms,correct_prediction
1491,2025-10-15T03:50:15.683877,conversation,Trial_1491_conversation,disgust,"[""L29.N1685"", ""L33.N4054"", ""L27.N3215"", ""L46.N3134"", ""L33.N4000"", ""L36.N3885"", ""L46.N3307"", ""L36.N800"", ""L37.N2055"", ""L45.N685"", ""L24.N3386"", ""L40.N335"", ""L35.N860"", ""L43.N2838"", ""L28.N3156"", ""L47.N1919""]",disgust,0.4761,0.4056,short_term,478.63,True
1492,2025-10-15T04:00:15.684108,memory_recall,Trial_1492_memory_recall,neutral,"[""L43.N3373"", ""L39.N1960"", ""L25.N2480"", ""L27.N2509"", ""L37.N283"", ""L38.N4094"", ""L35.N716"", ""L45.N681"", ""L39.N3068""]",neutral,0.459,0.3866,short_term,407.81,True
1493,2025-10-15T04:10:15.684261,conversation,Trial_1493_conversation,neutral,"[""L41.N3056"", ""L27.N597"", ""L37.N3399"", ""L38.N3791"", ""L24.N3488"", ""L33.N1857"", ""L35.N3587"", ""L46.N1714"", ""L24.N2784"", ""L32.N3453"", ""L43.N2124"", ""L34.N2898""]",neutral,0.5255,0.5118,short_term,434.46,True
1494,2025-10-15T04:20:15.684456,memory_recall,Trial_1494_memory_recall,anger,"[""L26.N2125"", ""L47.N1079"", ""L41.N2404"", ""L26.N534"", ""L25.N3848"", ""L41.N570"", ""L25.N2453"", ""L42.N1826"", ""L41.N3405""]",anger,0.1773,0.3281,long_term,184.9,True
1495,2025-10-15T04:30:15.684613,autonomous_thought,Trial_1495_autonomous_thought,neutral,"[""L32.N3632"", ""L35.N2240"", ""L43.N3285"", ""L31.N1118"", ""L35.N271"", ""L24.N3234"", ""L35.N1859"", ""L33.N737"", ""L32.N2818"", ""L43.N1246"", ""L43.N960"", ""L28.N2820""]",neutral,0.1444,0.3035,long_term,207.24,True
1496,2025-10-15T04:40:15.684827,memory_recall,Trial_1496_memory_recall,surprise,"[""L40.N2250"", ""L28.N1908"", ""L47.N3237"", ""L45.N47"", ""L28.N3796"", ""L47.N989"", ""L39.N1840"", ""L32.N3093"", ""L25.N1298""]",surprise,0.2519,0.2052,short_term,130.33,True
1497,2025-10-15T04:50:15.684984,learning_discovery,Trial_1497_learning_discovery,joy,"[""L33.N3673"", ""L33.N3751"", ""L36.N1748"", ""L25.N299"", ""L32.N541"", ""L24.N1844"", ""L35.N2091"", ""L26.N983"", ""L31.N44"", ""L40.N2931"", ""L33.N3630""]",joy,0.0881,0.2383,short_term,398.3,True
1498,2025-10-15T05:00:15.685159,user_interaction,Trial_1498_user_interaction,sadness,"[""L46.N2089"", ""L33.N555"", ""L44.N1954"", ""L27.N3733"", ""L47.N3275"", ""L30.N907"", ""L26.N3377""]",sadness,0.3947,0.3344,long_term,184.69,True
1499,2025-10-15T05:10:15.685289,conversation,Trial_1499_conversation,neutral,"[""L30.N871"", ""L39.N1068"", ""L28.N2754"", ""L36.N2770"", ""L35.N3666"", ""L40.N1802"", ""L26.N3900"", ""L25.N3639"", ""L37.N537"", ""L45.N3828"", ""L40.N1313"", ""L41.N3254"", ""L38.N715"", ""L39.N1231"", ""L30.N3461"", ""L37.N2631"", ""L43.N920"", ""L47.N2386"", ""L42.N2043""]",neutral,0.1888,0.2307,short_term,274.26,True
1500,2025-10-15T05:20:15.685563,task_completion,Trial_1500_task_completion,surprise,"[""L44.N290"", ""L37.N597"", ""L42.N431"", ""L45.N2693"", ""L47.N672"", ""L30.N1578"", ""L41.N40"", ""L45.N1314"", ""L47.N182"", ""L31.N1063"", ""L46.N3296""]",surprise,0.2333,0.1917,long_term,211.23,True
1501,2025-10-15T05:30:15.685744,learning_discovery,Trial_1501_learning_discovery,joy,"[""L45.N2305"", ""L46.N3230"", ""L27.N3630"", ""L43.N3672"", ""L36.N3392"", ""L45.N1217"", ""L29.N1286"", ""L42.N3779"", ""L41.N1910"", ""L32.N3572"", ""L34.N2116"", ""L47.N512"", ""L25.N182"", ""L26.N2101"", ""L40.N159""]",joy,0.1039,0.1497,short_term,146.57,True
1502,2025-10-15T05:40:15.685983,task_completion,Trial_1502_task_completion,disgust,"[""L30.N285"", ""L46.N3667"", ""L46.N3545"", ""L39.N2350"", ""L37.N1455"", ""L47.N136"", ""L46.N2037"", ""L44.N2750"", ""L33.N942"", ""L46.N73"", ""L25.N548"", ""L31.N3045"", ""L29.N1024"", ""L39.N1361"", ""L26.N70""]",disgust,0.4596,0.5009,long_term,384.9,True
1503,2025-10-15T05:50:15.686207,autonomous_thought,Trial_1503_autonomous_thought,sadness,"[""L45.N471"", ""L38.N3741"", ""L36.N3621"", ""L43.N1989"", ""L24.N2478"", ""L29.N1082"", ""L38.N974"", ""L37.N2857"", ""L31.N1507"", ""L45.N613"", ""L43.N3543"", ""L44.N383"", ""L40.N1942"", ""L47.N3381"", ""L30.N2283"", ""L46.N1603""]",sadness,0.6725,0.5843,long_term,307.66,True
1504,2025-10-15T06:00:15.686448,error_event,Trial_1504_error_event,joy,"[""L45.N401"", ""L27.N2570"", ""L43.N3977"", ""L39.N828"", ""L33.N356""]",joy,0.2794,0.3216,short_term,128.26,True
1505,2025-10-15T06:10:15.686560,learning_discovery,Trial_1505_learning_discovery,surprise,"[""L24.N443"", ""L44.N614"", ""L28.N2934"", ""L36.N824"", ""L36.N935"", ""L40.N381"", ""L33.N841"", ""L25.N3941"", ""L44.N4032""]",surprise,0.0707,0.1245,short_term,402.34,True
1506,2025-10-15T06:20:15.686721,error_event,Trial_1506_error_event,fear,"[""L38.N3450"", ""L27.N3611"", ""L27.N2748"", ""L36.N1163"", ""L38.N1308"", ""L46.N2316"", ""L29.N185"", ""L37.N766"", ""L26.N4007"", ""L35.N1245"", ""L37.N3844"", ""L25.N1769"", ""L26.N2678"", ""L33.N3656""]",fear,0.3594,0.297,short_term,432.24,True
1507,2025-10-15T06:30:15.686956,task_completion,Trial_1507_task_completion,surprise,"[""L30.N904"", ""L33.N921"", ""L25.N1796"", ""L40.N2881"", ""L43.N137"", ""L24.N2667"", ""L47.N3950"", ""L29.N525"", ""L37.N3342"", ""L24.N1144"", ""L40.N4010"", ""L38.N2963"", ""L39.N20""]",surprise,0.4538,0.4009,long_term,204.32,True
1508,2025-10-15T06:40:15.687161,autonomous_thought,Trial_1508_autonomous_thought,neutral,"[""L26.N3639"", ""L43.N2239"", ""L47.N2448"", ""L39.N3594"", ""L36.N657"", ""L37.N3617"", ""L35.N1621"", ""L44.N892"", ""L33.N3004"", ""L30.N3457"", ""L41.N1648"", ""L39.N3389"", ""L25.N906"", ""L42.N3966""]",neutral,0.2832,0.2953,short_term,865.06,True
1509,2025-10-15T06:50:15.687366,creative_output,Trial_1509_creative_output,neutral,"[""L32.N621"", ""L25.N3485"", ""L36.N2660"", ""L43.N1741"", ""L24.N3807"", ""L29.N3733"", ""L34.N368"", ""L46.N1845"", ""L37.N13"", ""L43.N2758"", ""L42.N3481"", ""L45.N3845"", ""L36.N3145"", ""L45.N382""]",neutral,0.1909,0.2697,short_term,233.73,True
1510,2025-10-15T07:00:15.687582,user_interaction,Trial_1510_user_interaction,neutral,"[""L45.N2200"", ""L35.N1670"", ""L28.N2115"", ""L24.N846"", ""L32.N3525"", ""L37.N3678"", ""L25.N2923"", ""L46.N1339"", ""L29.N2956"", ""L27.N3551"", ""L45.N2815"", ""L39.N2652"", ""L34.N3589""]",neutral,0.4821,0.4086,short_term,166.26,True
1511,2025-10-15T07:10:15.687780,learning_discovery,Trial_1511_learning_discovery,surprise,"[""L43.N1040"", ""L27.N803"", ""L26.N3495"", ""L46.N2248"", ""L25.N1465"", ""L42.N1525"", ""L41.N3711""]",surprise,0.1979,0.2387,short_term,142.4,True
1512,2025-10-15T07:20:15.687950,creative_output,Trial_1512_creative_output,neutral,"[""L32.N287"", ""L44.N1403"", ""L44.N2177"", ""L36.N789"", ""L28.N1268"", ""L43.N2768"", ""L29.N2512"", ""L25.N3270"", ""L40.N3543"", ""L31.N790"", ""L46.N544"", ""L42.N1144""]",neutral,0.1937,0.2745,short_term,146.46,True
1513,2025-10-15T07:30:15.688158,learning_discovery,Trial_1513_learning_discovery,fear,"[""L26.N3675"", ""L30.N3541"", ""L37.N3386"", ""L27.N2877"", ""L33.N2423"", ""L25.N3861"", ""L39.N2914"", ""L38.N2535""]",fear,0.0852,0.1995,short_term,374.26,True
1514,2025-10-15T07:40:15.688302,user_interaction,Trial_1514_user_interaction,anger,"[""L45.N1196"", ""L46.N2712"", ""L33.N1182"", ""L33.N3776"", ""L30.N275""]",anger,0.0426,0.2359,short_term,469.81,True
1515,2025-10-15T07:50:15.688434,task_completion,Trial_1515_task_completion,disgust,"[""L45.N1765"", ""L37.N4086"", ""L32.N1142"", ""L46.N1114"", ""L35.N722"", ""L43.N3871"", ""L45.N2396"", ""L46.N475"", ""L35.N1976"", ""L36.N1596"", ""L26.N1245"", ""L34.N1665"", ""L41.N369""]",disgust,0.3816,0.3795,short_term,127.46,True
1516,2025-10-15T08:00:15.688643,learning_discovery,Trial_1516_learning_discovery,fear,"[""L24.N3097"", ""L46.N2748"", ""L27.N1309"", ""L40.N3803"", ""L29.N1976"", ""L27.N1030"", ""L24.N2249"", ""L36.N3624"", ""L37.N3327""]",fear,0.3281,0.3199,long_term,380.36,True
1517,2025-10-15T08:10:15.688802,user_interaction,Trial_1517_user_interaction,fear,"[""L25.N2620"", ""L34.N1130"", ""L29.N1432"", ""L26.N534"", ""L32.N2398"", ""L26.N3136""]",fear,0.2584,0.3989,short_term,165.07,True
1518,2025-10-15T08:20:15.688924,user_interaction,Trial_1518_user_interaction,fear,"[""L32.N1296"", ""L34.N2918"", ""L47.N4024"", ""L30.N2188"", ""L42.N2128"", ""L41.N1565"", ""L36.N3760"", ""L41.N120""]",fear,0.1169,0.256,short_term,598.31,True
1519,2025-10-15T08:30:15.689093,user_interaction,Trial_1519_user_interaction,fear,"[""L25.N3516"", ""L34.N1275"", ""L26.N1181"", ""L26.N137"", ""L47.N2337"", ""L24.N3845"", ""L29.N1706"", ""L39.N702"", ""L24.N3972"", ""L33.N116"", ""L46.N485""]",fear,0.2824,0.2739,short_term,195.13,True
1520,2025-10-15T08:40:15.689271,memory_recall,Trial_1520_memory_recall,joy,"[""L31.N766"", ""L46.N167"", ""L45.N2260"", ""L43.N1951"", ""L37.N2839"", ""L37.N1041""]",joy,0.5006,0.4938,short_term,137.29,True
1521,2025-10-15T08:50:15.689392,conversation,Trial_1521_conversation,sadness,"[""L25.N734"", ""L37.N3098"", ""L39.N1343"", ""L25.N1968"", ""L39.N3144"", ""L43.N1651"", ""L32.N3716"", ""L27.N6"", ""L28.N631""]",sadness,0.1162,0.0877,short_term,185.87,True
1522,2025-10-15T09:00:15.689556,learning_discovery,Trial_1522_learning_discovery,neutral,"[""L38.N1581"", ""L39.N1828"", ""L37.N3887"", ""L37.N1222"", ""L42.N3107"", ""L41.N571"", ""L45.N756"", ""L38.N880"", ""L24.N2551"", ""L38.N3887"", ""L47.N2197""]",neutral,0.2179,0.2589,short_term,231.14,True
1523,2025-10-15T09:10:15.689735,conversation,Trial_1523_conversation,joy,"[""L33.N1618"", ""L34.N118"", ""L26.N1601"", ""L26.N3726"", ""L43.N1896"", ""L38.N3931"", ""L25.N2205""]",joy,0.2683,0.2972,short_term,114.88,True
1524,2025-10-15T09:20:15.689867,user_interaction,Trial_1524_user_interaction,neutral,"[""L24.N235"", ""L29.N506"", ""L34.N331"", ""L29.N119"", ""L28.N849"", ""L39.N3628"", ""L30.N3821"", ""L24.N692"", ""L44.N3883""]",neutral,0.1889,0.1926,long_term,454.32,True
1525,2025-10-15T09:30:15.690026,error_event,Trial_1525_error_event,surprise,"[""L29.N3392"", ""L31.N1048"", ""L37.N1123"", ""L27.N2166"", ""L46.N1615"", ""L34.N661"", ""L30.N3197""]",surprise,0.1922,0.2877,long_term,203.0,True
1526,2025-10-15T09:40:15.690182,error_event,Trial_1526_error_event,sadness,"[""L25.N2897"", ""L27.N3904"", ""L47.N3764"", ""L35.N527"", ""L46.N2974"", ""L41.N1380"", ""L39.N1064"", ""L32.N1281"", ""L37.N554"", ""L25.N1887"", ""L39.N2292"", ""L42.N2636""]",sadness,0.2,0.2655,short_term,333.92,True
1527,2025-10-15T09:50:15.690368,creative_output,Trial_1527_creative_output,fear,"[""L46.N1467"", ""L37.N2043"", ""L44.N3585"", ""L26.N3114"", ""L30.N3215"", ""L45.N757"", ""L30.N725"", ""L34.N2433"", ""L31.N774"", ""L29.N2223"", ""L44.N1130"", ""L45.N3581"", ""L26.N2641"", ""L32.N3312"", ""L25.N1274"", ""L33.N1449"", ""L40.N2535"", ""L43.N261"", ""L34.N2756""]",fear,0.4787,0.4778,long_term,386.7,True
1528,2025-10-15T10:00:15.690633,task_completion,Trial_1528_task_completion,joy,"[""L26.N3666"", ""L33.N1498"", ""L26.N1633"", ""L28.N1456"", ""L28.N1785"", ""L37.N3791"", ""L47.N3446"", ""L37.N29""]",joy,0.3675,0.3772,short_term,152.31,True
1529,2025-10-15T10:10:15.690781,user_interaction,Trial_1529_user_interaction,neutral,"[""L46.N1558"", ""L33.N3784"", ""L26.N794"", ""L33.N1871"", ""L47.N3798"", ""L32.N3457"", ""L29.N3300"", ""L26.N3398"", ""L38.N276"", ""L29.N1891"", ""L46.N1180"", ""L36.N1526"", ""L28.N3694"", ""L30.N2150""]",neutral,0.3245,0.4515,short_term,198.9,True
1530,2025-10-15T10:20:15.690993,conversation,Trial_1530_conversation,neutral,"[""L24.N1498"", ""L40.N957"", ""L32.N4086"", ""L38.N2729"", ""L43.N514"", ""L28.N193"", ""L45.N933"", ""L39.N811"", ""L40.N1611"", ""L40.N1653"", ""L30.N3863"", ""L39.N2001"", ""L31.N2138"", ""L41.N2305""]",neutral,0.0433,0.0739,long_term,272.66,True
1531,2025-10-15T10:30:15.691225,learning_discovery,Trial_1531_learning_discovery,disgust,"[""L37.N3139"", ""L32.N654"", ""L35.N2232"", ""L39.N3222"", ""L42.N2637"", ""L27.N2806"", ""L29.N1749""]",disgust,0.2939,0.2309,short_term,127.29,True
1532,2025-10-15T10:40:15.691360,creative_output,Trial_1532_creative_output,sadness,"[""L37.N798"", ""L24.N843"", ""L41.N343"", ""L27.N4029"", ""L46.N3074"", ""L40.N3326"", ""L36.N1200"", ""L40.N121"", ""L42.N959"", ""L28.N3815"", ""L47.N2465"", ""L32.N1126"", ""L39.N3819"", ""L44.N1156"", ""L47.N2718"", ""L47.N340""]",sadness,0.5239,0.5317,short_term,189.58,True
1533,2025-10-15T10:50:15.691598,learning_discovery,Trial_1533_learning_discovery,joy,"[""L47.N2943"", ""L45.N3076"", ""L36.N977"", ""L46.N1488"", ""L29.N2386"", ""L45.N2992"", ""L40.N337"", ""L38.N2806"", ""L43.N1411"", ""L27.N356"", ""L38.N2593"", ""L34.N470"", ""L26.N2986"", ""L26.N1738"", ""L25.N1141"", ""L43.N563""]",joy,0.1592,0.1614,short_term,171.43,True
1534,2025-10-15T11:00:15.691830,user_interaction,Trial_1534_user_interaction,fear,"[""L32.N1486"", ""L34.N72"", ""L47.N1671"", ""L43.N667"", ""L47.N593"", ""L34.N3812"", ""L27.N2676"", ""L28.N3359"", ""L44.N166"", ""L40.N3292"", ""L41.N2838"", ""L24.N1903"", ""L32.N2027"", ""L42.N2218"", ""L29.N2051"", ""L39.N194"", ""L31.N3535""]",disgust,0.2222,0.315,short_term,535.39,False
1535,2025-10-15T11:10:15.692085,creative_output,Trial_1535_creative_output,surprise,"[""L37.N2168"", ""L27.N2649"", ""L27.N586"", ""L25.N1054"", ""L47.N3505"", ""L26.N2648"", ""L25.N2176"", ""L28.N806"", ""L43.N1630"", ""L27.N2554"", ""L26.N3813"", ""L35.N3388"", ""L39.N1351"", ""L34.N108"", ""L37.N1498"", ""L41.N949""]",surprise,0.1401,0.132,long_term,129.97,True
1536,2025-10-15T11:20:15.692337,autonomous_thought,Trial_1536_autonomous_thought,sadness,"[""L41.N1104"", ""L40.N704"", ""L45.N3683"", ""L34.N4072"", ""L32.N3106"", ""L29.N2853"", ""L33.N169"", ""L40.N3054"", ""L27.N565"", ""L33.N3259"", ""L31.N384"", ""L47.N2645"", ""L40.N2827"", ""L35.N3256""]",sadness,0.4646,0.3744,long_term,297.97,True
1537,2025-10-15T11:30:15.692556,autonomous_thought,Trial_1537_autonomous_thought,fear,"[""L42.N1111"", ""L31.N2031"", ""L38.N166"", ""L25.N4044"", ""L28.N3785""]",fear,0.5227,0.5515,long_term,92.13,True
1538,2025-10-15T11:40:15.692667,task_completion,Trial_1538_task_completion,neutral,"[""L28.N729"", ""L27.N1551"", ""L37.N3905"", ""L44.N1670"", ""L44.N3466"", ""L47.N3755"", ""L45.N1116"", ""L28.N1399"", ""L39.N189"", ""L45.N2854"", ""L31.N67"", ""L27.N1178"", ""L29.N2273"", ""L32.N1531"", ""L31.N465"", ""L35.N1775"", ""L24.N2489"", ""L43.N1149"", ""L27.N3309""]",neutral,0.382,0.4399,short_term,85.78,True
1539,2025-10-15T11:50:15.692926,user_interaction,Trial_1539_user_interaction,anger,"[""L45.N4012"", ""L45.N1179"", ""L41.N854"", ""L32.N3230"", ""L32.N3873"", ""L30.N1028"", ""L44.N645"", ""L36.N3703"", ""L41.N930"", ""L33.N342"", ""L26.N2464"", ""L29.N3670""]",joy,0.1679,0.1689,short_term,449.38,False
1540,2025-10-15T12:00:15.693126,learning_discovery,Trial_1540_learning_discovery,fear,"[""L45.N3256"", ""L46.N3274"", ""L40.N1977"", ""L32.N1045"", ""L39.N2857"", ""L38.N3207"", ""L37.N2735"", ""L42.N386"", ""L36.N1565"", ""L32.N2507"", ""L28.N2772"", ""L42.N806"", ""L30.N2642"", ""L31.N3045"", ""L26.N3029"", ""L24.N1829"", ""L46.N2995"", ""L43.N2642"", ""L44.N3771""]",fear,0.0365,0.2092,short_term,193.56,True
1541,2025-10-15T12:10:15.693442,task_completion,Trial_1541_task_completion,sadness,"[""L36.N1021"", ""L29.N359"", ""L35.N3073"", ""L39.N1148"", ""L35.N726"", ""L41.N1602"", ""L41.N1802"", ""L28.N1836"", ""L33.N2164"", ""L45.N430"", ""L29.N3919"", ""L46.N1373""]",sadness,0.0776,0.227,short_term,300.26,True
1542,2025-10-15T12:20:15.693656,memory_recall,Trial_1542_memory_recall,sadness,"[""L25.N1672"", ""L38.N3614"", ""L27.N3184"", ""L32.N3854"", ""L24.N3517"", ""L25.N200""]",sadness,0.3646,0.4504,short_term,329.87,True
1543,2025-10-15T12:30:15.693784,error_event,Trial_1543_error_event,neutral,"[""L41.N1062"", ""L44.N2423"", ""L27.N2413"", ""L31.N275"", ""L34.N3581"", ""L37.N2452"", ""L26.N3391"", ""L34.N799"", ""L27.N3688"", ""L28.N1132""]",neutral,0.4387,0.5105,short_term,268.43,True
1544,2025-10-15T12:40:15.693945,learning_discovery,Trial_1544_learning_discovery,neutral,"[""L41.N3436"", ""L44.N1959"", ""L33.N2129"", ""L41.N2608"", ""L39.N1669"", ""L37.N3039"", ""L28.N3406"", ""L36.N3983"", ""L39.N3728"", ""L47.N2743"", ""L28.N2410"", ""L38.N3234""]",neutral,0.1679,0.2096,short_term,128.02,True
1545,2025-10-15T12:50:15.694135,creative_output,Trial_1545_creative_output,sadness,"[""L35.N1056"", ""L24.N2147"", ""L40.N329"", ""L24.N2169"", ""L34.N3006"", ""L44.N1744"", ""L33.N2523"", ""L29.N126"", ""L27.N1209"", ""L36.N2138"", ""L34.N1956"", ""L37.N2072""]",sadness,0.276,0.3497,long_term,205.34,True
1546,2025-10-15T13:00:15.694338,autonomous_thought,Trial_1546_autonomous_thought,anger,"[""L44.N1513"", ""L42.N1268"", ""L36.N2370"", ""L41.N947"", ""L28.N277"", ""L36.N1052"", ""L37.N221"", ""L38.N1777"", ""L37.N3954"", ""L26.N3989"", ""L24.N342"", ""L47.N774"", ""L43.N6"", ""L40.N287"", ""L38.N716"", ""L47.N1853""]",anger,0.1423,0.1116,long_term,301.91,True
1547,2025-10-15T13:10:15.694593,user_interaction,Trial_1547_user_interaction,surprise,"[""L36.N846"", ""L41.N1071"", ""L29.N3349"", ""L39.N3274"", ""L30.N2555"", ""L32.N1920"", ""L33.N1916"", ""L31.N74"", ""L28.N156"", ""L29.N2359"", ""L47.N3083"", ""L34.N3878"", ""L30.N3691"", ""L35.N1568"", ""L47.N3839"", ""L42.N692"", ""L27.N3065"", ""L42.N2233""]",surprise,0.3305,0.3344,short_term,643.65,True
1548,2025-10-15T13:20:15.694848,task_completion,Trial_1548_task_completion,joy,"[""L46.N1597"", ""L43.N3459"", ""L38.N1245"", ""L47.N531"", ""L47.N2824"", ""L47.N115""]",joy,0.1945,0.1399,long_term,222.36,True
1549,2025-10-15T13:30:15.694970,creative_output,Trial_1549_creative_output,neutral,"[""L43.N2785"", ""L32.N2953"", ""L31.N1726"", ""L27.N2015"", ""L36.N3322"", ""L29.N2309"", ""L25.N3400"", ""L29.N4036""]",neutral,0.3895,0.3385,long_term,311.35,True
1550,2025-10-15T13:40:15.695112,conversation,Trial_1550_conversation,neutral,"[""L33.N1139"", ""L47.N2628"", ""L33.N4070"", ""L38.N3162"", ""L41.N1907""]",fear,0.366,0.383,short_term,262.2,False
1551,2025-10-15T13:50:15.695232,autonomous_thought,Trial_1551_autonomous_thought,sadness,"[""L39.N1409"", ""L24.N3199"", ""L45.N3518"", ""L27.N4089"", ""L40.N2086""]",sadness,0.0377,0.1741,short_term,152.86,True
1552,2025-10-15T14:00:15.695350,autonomous_thought,Trial_1552_autonomous_thought,surprise,"[""L42.N1935"", ""L25.N1678"", ""L32.N2622"", ""L40.N665"", ""L25.N1909"", ""L29.N187"", ""L24.N3367"", ""L34.N691""]",surprise,0.4003,0.4519,short_term,117.58,True
1553,2025-10-15T14:10:15.695503,creative_output,Trial_1553_creative_output,neutral,"[""L25.N2271"", ""L35.N2250"", ""L39.N2058"", ""L26.N1974"", ""L33.N2716"", ""L28.N1627"", ""L36.N2200"", ""L47.N133"", ""L43.N3138"", ""L45.N1279"", ""L32.N692""]",disgust,0.1511,0.1873,short_term,162.27,False
1554,2025-10-15T14:20:15.695686,task_completion,Trial_1554_task_completion,anger,"[""L33.N2956"", ""L43.N3445"", ""L41.N3805"", ""L30.N2938"", ""L31.N120"", ""L29.N2049"", ""L45.N3719"", ""L33.N638"", ""L40.N3578"", ""L45.N3179"", ""L34.N3504"", ""L39.N3477"", ""L33.N2547"", ""L26.N1810"", ""L27.N1042"", ""L32.N3091"", ""L40.N771"", ""L40.N3577"", ""L26.N2867""]",anger,0.2353,0.2433,short_term,516.39,True
1555,2025-10-15T14:30:15.695958,error_event,Trial_1555_error_event,neutral,"[""L45.N673"", ""L43.N2604"", ""L36.N1294"", ""L38.N3976"", ""L41.N2733"", ""L46.N173"", ""L27.N301"", ""L33.N3229"", ""L34.N885"", ""L24.N3834"", ""L37.N2471"", ""L29.N1706"", ""L37.N1702"", ""L45.N3366""]",neutral,0.6301,0.4776,long_term,200.65,True
1556,2025-10-15T14:40:15.696163,autonomous_thought,Trial_1556_autonomous_thought,joy,"[""L39.N1056"", ""L27.N3442"", ""L41.N3431"", ""L29.N4076"", ""L43.N1922"", ""L38.N4037"", ""L29.N1828"", ""L42.N2842"", ""L33.N4072"", ""L37.N3829"", ""L28.N2938"", ""L30.N1424"", ""L46.N784"", ""L32.N885"", ""L46.N2854"", ""L24.N1217""]",joy,0.1315,0.2366,long_term,354.94,True
1557,2025-10-15T14:50:15.696387,error_event,Trial_1557_error_event,joy,"[""L36.N1854"", ""L25.N243"", ""L45.N306"", ""L32.N900"", ""L44.N3326"", ""L30.N2456"", ""L36.N2048"", ""L32.N193"", ""L26.N3435"", ""L28.N2169"", ""L35.N1027"", ""L44.N3132"", ""L44.N3755"", ""L28.N2893"", ""L37.N1161"", ""L33.N2532"", ""L41.N1754""]",joy,0.3389,0.3219,short_term,236.55,True
1558,2025-10-15T15:00:15.696646,user_interaction,Trial_1558_user_interaction,surprise,"[""L40.N2922"", ""L46.N4090"", ""L35.N2352"", ""L45.N2966"", ""L28.N2716"", ""L28.N550"", ""L26.N4002"", ""L40.N1053"", ""L47.N257"", ""L38.N2610"", ""L46.N233"", ""L34.N2431"", ""L47.N392"", ""L37.N1751"", ""L30.N3209"", ""L24.N3936"", ""L37.N1498"", ""L31.N205"", ""L30.N209""]",surprise,0.3226,0.2812,short_term,193.15,True
1559,2025-10-15T15:10:15.696924,conversation,Trial_1559_conversation,neutral,"[""L42.N2355"", ""L46.N536"", ""L38.N3396"", ""L34.N1676"", ""L25.N3399"", ""L34.N1599"", ""L41.N3833"", ""L33.N608"", ""L27.N1020"", ""L40.N240"", ""L28.N1238""]",neutral,0.0618,0.2871,long_term,232.89,True
1560,2025-10-15T15:20:15.697098,creative_output,Trial_1560_creative_output,joy,"[""L47.N1845"", ""L44.N2880"", ""L44.N3111"", ""L32.N3749"", ""L34.N1052"", ""L33.N3042"", ""L31.N3036"", ""L28.N129"", ""L39.N3840""]",joy,0.2565,0.335,short_term,202.64,True
1561,2025-10-15T15:30:15.697249,task_completion,Trial_1561_task_completion,surprise,"[""L47.N1511"", ""L41.N2179"", ""L41.N3740"", ""L38.N375"", ""L30.N3638"", ""L38.N3614"", ""L42.N3483"", ""L44.N2589"", ""L40.N681"", ""L34.N3277"", ""L27.N3939"", ""L24.N3499"", ""L30.N1444"", ""L24.N3220"", ""L47.N1529""]",surprise,0.4283,0.4484,long_term,185.48,True
1562,2025-10-15T15:40:15.697477,conversation,Trial_1562_conversation,joy,"[""L47.N1096"", ""L33.N2807"", ""L43.N3674"", ""L25.N1730"", ""L47.N1252"", ""L27.N2722"", ""L42.N2313"", ""L30.N90"", ""L35.N1639"", ""L28.N3255"", ""L36.N3519"", ""L32.N3459"", ""L25.N2468"", ""L25.N1657"", ""L41.N4037"", ""L34.N3881"", ""L24.N3873"", ""L44.N649""]",joy,0.4344,0.4298,short_term,384.51,True
1563,2025-10-15T15:50:15.697773,memory_recall,Trial_1563_memory_recall,neutral,"[""L47.N3529"", ""L40.N939"", ""L31.N3403"", ""L40.N2210"", ""L37.N3179"", ""L28.N3372"", ""L34.N143"", ""L33.N3933"", ""L47.N2535"", ""L29.N1043"", ""L43.N2583"", ""L26.N2775""]",neutral,0.585,0.5546,short_term,294.08,True
1564,2025-10-15T16:00:15.697962,conversation,Trial_1564_conversation,surprise,"[""L31.N3803"", ""L25.N2008"", ""L41.N3607"", ""L41.N602"", ""L35.N1975"", ""L26.N3617"", ""L29.N3333"", ""L40.N2703"", ""L46.N987"", ""L36.N2315"", ""L34.N3118""]",surprise,0.3003,0.2493,long_term,127.22,True
1565,2025-10-15T16:10:15.698142,task_completion,Trial_1565_task_completion,surprise,"[""L33.N3880"", ""L31.N57"", ""L31.N1482"", ""L46.N1949"", ""L35.N1397"", ""L46.N1861"", ""L26.N3470"", ""L29.N4059"", ""L30.N645"", ""L25.N2949"", ""L25.N2880"", ""L38.N3465"", ""L33.N1289"", ""L28.N1311"", ""L27.N3391"", ""L38.N1096""]",surprise,0.1138,0.1716,short_term,674.93,True
1566,2025-10-15T16:20:15.698367,task_completion,Trial_1566_task_completion,neutral,"[""L41.N3508"", ""L26.N3843"", ""L32.N1644"", ""L38.N41"", ""L44.N2911"", ""L32.N3951"", ""L39.N1324"", ""L28.N1513"", ""L47.N1280"", ""L26.N3796"", ""L26.N4009"", ""L40.N1629"", ""L41.N460"", ""L25.N1135"", ""L27.N2229""]",neutral,0.4982,0.4834,short_term,136.16,True
